time	dest	src	seqn	hops
00:34.034	1	5	0	1
00:36.160	1	8	0	3
00:38.034	1	3	0	2
00:38.158	1	2	0	1
00:38.535	1	10	0	1
00:44.410	1	6	0	1
00:45.034	1	7	0	1
00:45.784	1	9	0	2
01:01.410	1	5	1	1
01:01.533	1	10	1	1
01:04.408	1	2	1	1
01:05.035	1	7	1	1
01:05.784	1	6	1	1
01:07.408	1	9	1	2
01:07.908	1	8	1	3
01:14.659	1	3	1	2
01:31.909	1	9	2	2
01:32.660	1	8	2	3
01:33.658	1	2	2	1
01:35.408	1	5	2	1
01:35.535	1	3	2	2
01:37.032	1	7	2	1
01:38.284	1	10	2	1
01:39.284	1	6	2	1
02:04.284	1	7	3	1
02:06.158	1	8	3	3
02:08.285	1	3	3	2
02:09.659	1	4	3	2
02:10.407	1	6	3	1
02:11.534	1	5	3	1
02:13.284	1	2	3	1
02:14.660	1	10	3	1
02:15.410	1	9	3	2
02:32.034	1	4	4	2
02:34.533	1	6	4	1
02:37.284	1	10	4	1
02:38.911	1	7	4	1
02:40.160	1	3	4	2
02:41.160	1	5	4	1
02:42.909	1	8	4	3
02:43.160	1	9	4	2
02:45.411	1	2	4	1
03:03.159	1	4	5	2
03:05.036	1	3	5	2
03:07.660	1	2	5	1
03:11.284	1	10	5	1
03:12.034	1	9	5	2
03:13.034	1	5	5	1
03:13.785	1	8	5	3
03:14.659	1	7	5	1
03:15.286	1	6	5	1
03:31.159	1	4	6	2
03:32.660	1	9	6	2
03:32.784	1	5	6	1
03:36.032	1	6	6	1
03:36.535	1	7	6	1
03:37.407	1	3	6	2
03:37.533	1	8	6	3
03:44.410	1	2	6	1
03:44.534	1	10	6	1
04:02.034	1	10	7	1
04:02.410	1	5	7	1
04:03.408	1	3	7	2
04:04.785	1	2	7	1
04:06.659	1	8	7	3
04:12.909	1	4	7	2
04:13.660	1	9	7	2
04:14.410	1	7	7	1
04:14.910	1	6	7	1
04:31.909	1	7	8	1
04:33.785	1	6	8	1
04:35.284	1	5	8	1
04:35.907	1	3	8	2
04:37.660	1	9	8	2
04:38.533	1	10	8	1
04:40.034	1	2	8	1
04:40.408	1	8	8	3
04:43.409	1	4	8	2
05:01.410	1	7	9	1
05:02.285	1	4	9	2
05:03.909	1	5	9	1
05:06.659	1	2	9	1
