time	dest	src	seqn
00:32.478	1	4	0
00:34.001	1	5	0
00:35.992	1	8	0
00:37.921	1	3	0
00:38.124	1	2	0
00:38.507	1	10	0
00:44.279	1	6	0
00:44.953	1	7	0
00:45.573	1	9	0
01:01.290	1	5	1
01:01.514	1	10	1
01:04.382	1	2	1
01:04.502	1	4	1
01:04.930	1	7	1
01:05.724	1	6	1
01:07.299	1	9	1
01:07.624	1	8	1
01:14.522	1	3	1
01:31.784	1	9	2
01:32.344	1	8	2
01:33.553	1	2	2
01:35.150	1	5	2
01:35.256	1	3	2
01:36.915	1	7	2
01:38.186	1	10	2
01:38.447	1	4	2
01:39.193	1	6	2
02:01.673	1	7	3
02:05.945	1	8	3
02:08.138	1	3	3
02:09.486	1	4	3
02:10.357	1	6	3
02:11.470	1	5	3
02:13.218	1	2	3
02:14.601	1	10	3
02:15.291	1	9	3
02:31.846	1	4	4
02:34.467	1	6	4
02:37.210	1	10	4
02:38.813	1	7	4
02:40.060	1	3	4
02:41.017	1	5	4
02:42.679	1	8	4
02:42.963	1	9	4
02:45.327	1	2	4
03:02.916	1	4	5
03:04.850	1	3	5
03:07.522	1	2	5
03:11.155	1	10	5
03:11.878	1	9	5
03:12.994	1	5	5
03:13.562	1	8	5
03:14.602	1	7	5
03:15.162	1	6	5
03:30.962	1	4	6
03:32.510	1	9	6
03:32.736	1	5	6
03:35.958	1	6	6
03:36.461	1	7	6
03:36.789	1	8	6
03:36.857	1	3	6
03:44.319	1	2	6
03:44.453	1	10	6
04:01.288	1	10	7
04:01.337	1	5	7
04:02.943	1	3	7
04:04.671	1	2	7
04:06.484	1	8	7
04:12.689	1	4	7
04:13.487	1	9	7
04:14.281	1	7	7
04:14.810	1	6	7
04:31.828	1	7	8
04:33.638	1	6	8
04:35.181	1	5	8
04:35.796	1	3	8
04:37.471	1	9	8
04:38.397	1	10	8
04:39.905	1	2	8
04:40.281	1	8	8
04:43.174	1	4	8
05:01.305	1	7	9
05:01.681	1	4	9
05:03.876	1	5	9
05:06.538	1	2	9
05:08.132	1	8	9
05:09.897	1	6	9
05:11.230	1	9	9
05:11.897	1	3	9
05:14.592	1	10	9
05:30.900	1	4	10
05:31.673	1	5	10
05:32.548	1	7	10
05:41.068	1	6	10
05:42.831	1	9	10
05:42.967	1	3	10
05:43.499	1	2	10
05:43.953	1	8	10
05:45.741	1	10	10
06:00.732	1	6	11
06:01.649	1	7	11
06:02.401	1	9	11
06:04.014	1	3	11
06:04.525	1	5	11
06:06.061	1	10	11
06:11.877	1	4	11
06:13.367	1	8	11
06:15.258	1	2	11
06:32.475	1	2	12
06:32.976	1	8	12
06:34.326	1	6	12
06:35.759	1	5	12
06:36.675	1	9	12
06:38.935	1	3	12
06:39.322	1	4	12
06:45.383	1	7	12
06:45.585	1	10	12
07:01.702	1	2	13
07:01.766	1	7	13
07:04.370	1	9	13
07:05.225	1	3	13
07:05.921	1	8	13
07:07.030	1	10	13
07:07.861	1	4	13
07:08.834	1	6	13
07:08.892	1	5	13
07:31.961	1	8	14
07:34.620	1	4	14
07:35.977	1	7	14
07:37.505	1	6	14
07:39.328	1	10	14
