time	dest	src	seqn	hops
00:30.680	1	6	0	1
00:34.011	1	5	0	1
00:34.512	1	4	0	1
00:37.206	1	9	0	2
00:37.936	1	3	0	2
00:38.134	1	2	0	1
00:38.517	1	10	0	1
00:41.779	1	8	0	3
00:44.963	1	7	0	1
01:01.300	1	5	1	1
01:01.524	1	10	1	1
01:04.391	1	2	1	1
01:04.940	1	7	1	1
01:08.457	1	4	1	1
01:10.312	1	6	1	1
01:14.099	1	8	1	3
01:14.537	1	3	1	2
01:15.588	1	9	1	2
01:33.563	1	2	2	1
01:35.160	1	5	2	1
01:35.272	1	3	2	2
01:35.510	1	9	2	2
01:35.734	1	6	2	1
01:35.754	1	4	2	1
01:36.925	1	7	2	1
01:37.646	1	8	2	3
01:38.196	1	10	2	1
02:01.688	1	7	3	1
02:01.800	1	9	3	2
02:01.856	1	4	3	1
02:05.273	1	6	3	1
02:08.154	1	3	3	2
02:10.623	1	8	3	3
02:11.480	1	5	3	1
02:13.228	1	2	3	1
02:14.611	1	10	3	1
02:33.590	1	4	4	1
02:34.633	1	6	4	1
02:35.607	1	8	4	3
02:37.220	1	10	4	1
02:40.076	1	3	4	2
02:41.027	1	5	4	1
02:41.854	1	7	4	1
02:42.979	1	9	4	2
02:45.337	1	2	4	1
03:00.972	1	4	5	1
03:02.365	1	8	5	3
03:04.866	1	3	5	2
03:06.018	1	7	5	1
03:07.532	1	2	5	1
03:09.203	1	6	5	1
03:11.165	1	10	5	1
03:11.893	1	9	5	2
03:13.004	1	5	5	1
03:32.725	1	3	6	2
03:34.128	1	7	6	1
03:36.537	1	8	6	3
03:36.894	1	4	6	1
03:41.988	1	5	6	1
03:43.503	1	9	6	2
03:44.250	1	6	6	1
03:44.329	1	2	6	1
03:44.462	1	10	6	1
04:02.745	1	5	7	1
04:04.477	1	6	7	1
04:04.564	1	10	7	1
04:04.681	1	2	7	1
04:08.823	1	7	7	1
04:09.545	1	3	7	2
04:12.701	1	8	7	3
04:12.948	1	9	7	2
04:13.184	1	4	7	1
04:31.298	1	10	8	1
04:33.620	1	7	8	1
04:34.043	1	4	8	1
04:36.811	1	8	8	3
04:39.915	1	2	8	1
04:39.922	1	5	8	1
04:41.245	1	9	8	2
04:42.961	1	6	8	1
04:46.092	1	3	8	2
05:05.681	1	10	9	1
05:05.968	1	6	9	1
05:06.471	1	7	9	1
05:06.506	1	8	9	3
05:06.548	1	2	9	1
05:07.363	1	4	9	1
05:07.569	1	3	9	2
05:08.082	1	5	9	1
05:12.847	1	9	9	2
05:30.910	1	4	10	1
05:35.191	1	5	10	1
05:36.641	1	6	10	1
05:38.706	1	7	10	1
05:40.303	1	8	10	3
05:40.581	1	9	10	2
05:41.970	1	2	10	1
05:44.553	1	3	10	2
05:44.603	1	10	10	1
06:01.839	1	7	11	1
06:03.886	1	5	11	1
06:05.811	1	3	11	2
06:07.464	1	9	11	2
06:08.155	1	8	11	3
06:08.892	1	10	11	1
06:10.055	1	6	11	1
06:11.887	1	4	11	1
06:13.509	1	2	11	1
06:31.683	1	5	12	1
06:33.261	1	7	12	1
06:33.869	1	2	12	1
06:34.386	1	9	12	2
06:37.872	1	4	12	1
06:39.664	1	6	12	1
06:42.983	1	3	12	2
06:43.389	1	8	12	3
06:45.752	1	10	12	1
07:03.439	1	2	13	1
07:04.535	1	5	13	1
07:04.629	1	4	13	1
07:05.300	1	7	13	1
07:05.610	1	6	13	1
07:05.647	1	3	13	2
07:06.072	1	10	13	1
07:06.522	1	8	13	3
07:13.175	1	9	13	2
07:31.660	1	7	14	1
07:32.486	1	2	14	1
07:32.618	1	10	14	1
07:35.035	1	9	14	2
07:35.770	1	5	14	1
07:35.943	1	8	14	3
07:37.756	1	3	14	2
07:39.906	1	6	14	1
07:43.801	1	4	14	1
08:01.713	1	2	15	1
08:01.965	1	4	15	1
08:01.983	1	8	15	3
08:02.008	1	6	15	1
08:03.855	1	9	15	2
08:08.729	1	7	15	1
08:08.902	1	5	15	1
08:08.952	1	3	15	2
08:15.595	1	10	15	1
08:30.743	1	6	16	1
08:31.776	1	7	16	1
08:32.342	1	8	16	3
08:32.580	1	10	16	1
08:42.197	1	2	16	1
08:43.401	1	9	16	2
08:43.749	1	3	16	2
08:44.075	1	4	16	1
08:45.324	1	5	16	1
09:00.412	1	8	17	3
09:02.363	1	5	17	1
09:03.204	1	2	17	1
09:05.125	1	6	17	1
09:07.100	1	3	17	2
09:09.337	1	10	17	1
09:10.503	1	7	17	1
09:11.770	1	4	17	1
09:13.878	1	9	17	2
09:32.863	1	9	18	2
09:32.876	1	2	18	1
09:33.047	1	6	18	1
09:33.509	1	10	18	1
09:35.988	1	7	18	1
09:36.335	1	3	18	2
09:40.459	1	8	18	3
09:40.567	1	4	18	1
09:43.723	1	5	18	1
10:01.674	1	10	19	1
10:01.967	1	3	19	2
10:04.336	1	6	19	1
10:05.291	1	2	19	1
10:07.120	1	9	19	2
10:08.793	1	5	19	1
10:09.186	1	8	19	3
10:12.419	1	4	19	1
10:13.495	1	7	19	1
10:30.670	1	8	20	3
10:32.389	1	3	20	2
10:34.196	1	6	20	1
10:37.653	1	4	20	1
10:40.167	1	7	20	1
10:40.900	1	2	20	1
10:42.783	1	10	20	1
10:43.292	1	9	20	2
10:43.840	1	5	20	1
11:00.845	1	2	21	1
11:04.178	1	8	21	3
11:06.081	1	7	21	1
11:07.516	1	6	21	1
11:09.566	1	5	21	1
11:12.785	1	4	21	1
11:14.478	1	10	21	1
11:14.928	1	3	21	2
11:15.956	1	9	21	2
11:31.063	1	6	22	1
11:32.066	1	9	22	2
11:34.142	1	2	22	1
11:34.850	1	8	22	3
11:36.051	1	5	22	1
11:40.207	1	4	22	1
11:41.275	1	10	22	1
11:41.691	1	7	22	1
11:45.288	1	3	22	2
12:02.040	1	6	23	1
12:02.261	1	9	23	2
12:03.858	1	3	23	2
12:06.764	1	8	23	3
12:08.558	1	5	23	1
12:09.244	1	2	23	1
12:10.127	1	10	23	1
12:11.136	1	7	23	1
12:14.247	1	4	23	1
12:32.432	1	7	24	1
12:33.230	1	5	24	1
12:33.905	1	3	24	2
12:40.024	1	6	24	1
12:40.606	1	4	24	1
12:40.978	1	2	24	1
12:44.058	1	9	24	2
13:01.686	1	4	25	1
13:06.034	1	7	25	1
13:06.361	1	2	25	1
13:08.493	1	10	25	1
13:09.145	1	5	25	1
13:10.818	1	8	25	3
13:12.131	1	3	25	2
13:13.781	1	6	25	1
13:15.410	1	9	25	2
13:32.754	1	5	26	1
13:32.915	1	10	26	1
13:34.953	1	6	26	1
13:37.282	1	2	26	1
13:37.769	1	7	26	1
13:42.115	1	8	26	3
13:42.616	1	3	26	2
13:44.644	1	9	26	2
13:44.723	1	4	26	1
14:01.624	1	3	27	2
14:02.717	1	8	27	3
14:03.572	1	2	27	1
14:05.651	1	7	27	1
14:08.118	1	6	27	1
14:10.955	1	10	27	1
14:11.199	1	5	27	1
14:12.276	1	9	27	2
14:13.450	1	4	27	1
14:31.573	1	7	28	1
14:32.314	1	10	28	1
14:32.934	1	4	28	1
14:36.452	1	8	28	3
14:38.496	1	5	28	1
14:39.431	1	2	28	1
14:43.227	1	6	28	1
14:43.295	1	3	28	2
14:45.698	1	9	28	2
