time	dest	src	seqn	hops
00:30.680	1	6	0	1
00:31.530	1	10	0	2
00:34.017	1	5	0	2
00:34.512	1	4	0	1
00:37.930	1	3	0	1
00:38.134	1	2	0	1
00:41.542	1	9	0	2
00:41.773	1	8	0	2
00:44.963	1	7	0	1
01:01.306	1	5	1	2
01:04.391	1	2	1	1
01:04.940	1	7	1	1
01:07.206	1	9	1	2
01:08.457	1	4	1	1
01:10.312	1	6	1	1
01:11.382	1	10	1	2
01:14.093	1	8	1	2
01:14.531	1	3	1	1
01:33.563	1	2	2	1
01:35.166	1	5	2	2
01:35.266	1	3	2	1
01:35.734	1	6	2	1
01:35.754	1	4	2	1
01:36.925	1	7	2	1
01:37.315	1	9	2	2
01:37.640	1	8	2	2
01:44.616	1	10	2	2
02:01.688	1	7	3	1
02:01.749	1	10	3	2
02:01.856	1	4	3	1
02:05.273	1	6	3	1
02:05.510	1	9	3	2
02:08.148	1	3	3	1
02:10.617	1	8	3	2
02:11.486	1	5	3	2
02:13.228	1	2	3	1
02:33.590	1	4	4	1
02:34.633	1	6	4	1
02:35.601	1	8	4	2
02:40.070	1	3	4	1
02:41.033	1	5	4	2
02:41.171	1	10	4	2
02:41.854	1	7	4	1
02:45.307	1	9	4	2
02:45.337	1	2	4	1
03:00.972	1	4	5	1
03:02.359	1	8	5	2
03:04.210	1	10	5	2
03:04.860	1	3	5	1
03:06.018	1	7	5	1
03:07.532	1	2	5	1
03:09.203	1	6	5	1
03:13.009	1	5	5	2
03:14.659	1	9	5	2
03:32.719	1	3	6	1
03:34.128	1	7	6	1
03:34.570	1	10	6	2
03:36.531	1	8	6	2
03:36.894	1	4	6	1
03:41.893	1	9	6	2
03:41.994	1	5	6	2
03:44.250	1	6	6	1
03:44.329	1	2	6	1
04:02.526	1	9	7	2
04:02.751	1	5	7	2
04:04.477	1	6	7	1
04:04.681	1	2	7	1
04:08.823	1	7	7	1
04:09.539	1	3	7	1
04:12.640	1	10	7	2
04:12.695	1	8	7	2
04:13.184	1	4	7	1
04:33.620	1	7	8	1
04:34.043	1	4	8	1
04:35.686	1	10	8	2
04:36.805	1	8	8	2
04:39.915	1	2	8	1
04:39.923	1	5	8	2
04:42.948	1	9	8	2
04:42.961	1	6	8	1
04:46.086	1	3	8	1
05:05.968	1	6	9	1
05:06.471	1	7	9	1
05:06.500	1	8	9	2
05:06.548	1	2	9	1
05:07.363	1	4	9	1
05:07.487	1	9	9	2
05:07.563	1	3	9	1
05:08.087	1	5	9	2
05:08.413	1	10	9	2
05:30.910	1	4	10	1
05:35.197	1	5	10	2
05:36.641	1	6	10	1
05:38.406	1	10	10	2
05:38.706	1	7	10	1
05:40.297	1	8	10	2
05:41.970	1	2	10	1
05:42.847	1	9	10	2
05:44.548	1	3	10	1
06:01.839	1	7	11	1
06:02.429	1	9	11	2
06:03.892	1	5	11	2
06:05.805	1	3	11	1
06:08.149	1	8	11	2
06:10.055	1	6	11	1
06:11.887	1	4	11	1
06:13.509	1	2	11	1
06:15.757	1	10	11	2
06:31.689	1	5	12	2
06:32.992	1	10	12	2
06:33.869	1	2	12	1
06:35.300	1	7	12	1
06:37.464	1	9	12	2
06:37.872	1	4	12	1
06:39.664	1	6	12	1
06:42.977	1	3	12	1
06:43.383	1	8	12	2
07:02.558	1	7	13	1
07:02.624	1	10	13	2
07:03.439	1	2	13	1
07:04.541	1	5	13	2
07:04.629	1	4	13	1
07:05.610	1	6	13	1
07:05.641	1	3	13	1
07:06.516	1	8	13	2
07:06.691	1	9	13	2
07:32.486	1	2	14	1
07:35.775	1	5	14	2
07:35.937	1	8	14	2
07:37.046	1	10	14	2
07:37.751	1	3	14	1
07:38.729	1	7	14	1
07:39.906	1	6	14	1
07:43.175	1	9	14	2
07:43.801	1	4	14	1
08:01.713	1	2	15	1
08:01.965	1	4	15	1
08:01.977	1	8	15	2
08:02.008	1	6	15	1
08:02.586	1	10	15	2
08:08.908	1	5	15	2
08:08.946	1	3	15	1
08:09.183	1	9	15	2
08:15.394	1	7	15	1
08:30.743	1	6	16	1
08:32.336	1	8	16	2
08:33.855	1	9	16	2
08:37.945	1	10	16	2
08:40.503	1	7	16	1
08:42.197	1	2	16	1
08:43.743	1	3	16	1
08:44.075	1	4	16	1
08:45.330	1	5	16	2
09:00.406	1	8	17	2
09:02.369	1	5	17	2
09:03.204	1	2	17	1
09:03.515	1	10	17	2
09:04.269	1	9	17	2
09:05.125	1	6	17	1
09:06.698	1	7	17	1
09:07.094	1	3	17	1
09:11.770	1	4	17	1
09:32.876	1	2	18	1
09:33.047	1	6	18	1
09:35.562	1	10	18	2
09:36.329	1	3	18	1
09:40.453	1	8	18	2
09:40.567	1	4	18	1
09:43.495	1	7	18	1
09:43.729	1	5	18	2
09:43.878	1	9	18	2
10:01.961	1	3	19	1
10:04.336	1	6	19	1
10:05.291	1	2	19	1
10:05.823	1	9	19	2
10:08.799	1	5	19	2
10:09.180	1	8	19	2
10:11.847	1	7	19	1
10:12.419	1	4	19	1
10:12.789	1	10	19	2
10:30.664	1	8	20	2
10:31.273	1	10	20	2
10:32.383	1	3	20	1
10:34.196	1	6	20	1
10:36.081	1	7	20	1
10:37.120	1	9	20	2
10:37.653	1	4	20	1
10:40.900	1	2	20	1
10:43.845	1	5	20	2
11:00.845	1	2	21	1
11:01.222	1	9	21	2
11:04.172	1	8	21	2
11:07.516	1	6	21	1
11:08.714	1	7	21	1
11:09.572	1	5	21	2
11:11.281	1	10	21	2
11:12.785	1	4	21	1
11:14.923	1	3	21	1
11:31.063	1	6	22	1
11:34.142	1	2	22	1
11:36.057	1	5	22	2
11:36.758	1	8	22	2
11:40.207	1	4	22	1
11:41.136	1	7	22	1
11:41.953	1	10	22	2
11:45.282	1	3	22	1
11:45.956	1	9	22	2
12:01.339	1	9	23	2
12:02.040	1	6	23	1
12:03.852	1	3	23	1
12:08.391	1	8	23	2
12:08.564	1	5	23	2
12:09.244	1	2	23	1
12:09.367	1	10	23	2
12:13.675	1	7	23	1
12:14.247	1	4	23	1
12:32.261	1	9	24	2
12:33.236	1	5	24	2
12:33.899	1	3	24	1
12:34.352	1	8	24	2
12:36.034	1	7	24	1
12:37.976	1	10	24	2
12:40.024	1	6	24	1
12:40.606	1	4	24	1
12:40.978	1	2	24	1
13:01.550	1	9	25	2
13:01.686	1	4	25	1
13:02.921	1	10	25	2
13:06.361	1	2	25	1
13:09.150	1	5	25	2
13:12.109	1	8	25	2
13:12.126	1	3	25	1
13:12.604	1	7	25	1
13:13.781	1	6	25	1
13:32.760	1	5	26	2
13:34.953	1	6	26	1
13:35.651	1	7	26	1
13:36.446	1	8	26	2
13:37.282	1	2	26	1
13:42.610	1	3	26	1
13:44.218	1	10	26	2
13:44.723	1	4	26	1
13:45.409	1	9	26	2
14:01.618	1	3	27	1
14:02.320	1	10	27	2
14:03.572	1	2	27	1
14:08.118	1	6	27	1
14:09.328	1	8	27	2
14:11.205	1	5	27	2
14:13.450	1	4	27	1
14:14.878	1	7	27	1
14:15.730	1	9	27	2
14:32.934	1	4	28	1
14:34.054	1	10	28	2
14:36.250	1	8	28	2
14:38.363	1	7	28	1
14:38.502	1	5	28	2
14:39.431	1	2	28	1
14:42.276	1	9	28	2
14:43.227	1	6	28	1
14:43.289	1	3	28	1
